-0.0846,1.3869,1.9997,-2.9074,-174.1694,0
-0.1042,1.3844,1.973,-2.6738,-172.7505,0
-0.1235,1.3815,1.9485,-2.447,-171.2974,0
-0.1424,1.3781,1.9263,-2.2277,-169.8119,0
-0.1611,1.3742,1.9061,-2.011,-168.2953,0
-0.1795,1.3699,1.8881,-1.8015,-166.749,0
-0.1976,1.3651,1.8722,-1.5955,-165.176,0
-0.2154,1.3599,1.8582,-1.3921,-163.5782,0
-0.2329,1.3541,1.8463,-1.1933,-161.958,0
-0.2502,1.348,1.8364,-0.9965,-160.3186,0
-0.2673,1.3413,1.8283,-0.8025,-158.6629,0
-0.284,1.3342,1.8222,-0.6106,-156.9943,0
-0.3006,1.3266,1.818,-0.4204,-155.3159,0
-0.3168,1.3185,1.8157,-0.2321,-153.6314,0
-0.3328,1.31,1.8152,-0.045,-151.9447,0
-0.3486,1.301,1.8167,0.1408,-150.2582,0
-0.3641,1.2915,1.8199,0.3259,-148.5762,0
-0.3794,1.2815,1.825,0.5097,-146.9024,0
-0.3945,1.2711,1.8319,0.6933,-145.2397,0
-0.4093,1.2602,1.8407,0.876,-143.5914,0
-0.4239,1.2487,1.8513,1.0586,-141.9602,0
-0.4382,1.2369,1.8637,1.241,-140.349,0
-0.4523,1.2245,1.8779,1.4233,-138.7606,0
-0.4662,1.2116,1.894,1.6051,-137.1968,0
-0.4799,1.1982,1.9119,1.7881,-135.66,0
-0.4934,1.1844,1.9316,1.9696,-134.1516,0
-0.5066,1.17,1.9531,2.1533,-132.6728,0
-0.5196,1.1552,1.9765,2.3362,-131.2252,0
-0.5324,1.1398,2.0017,2.5211,-129.81,0
-0.545,1.1239,2.0287,2.7042,-128.4277,0
-0.5575,1.1075,2.0576,2.8897,-127.0782,0
-0.5697,1.0905,2.0884,3.0762,-125.7622,0
-0.5817,1.073,2.121,3.2625,-124.4797,0
-0.5935,1.055,2.1554,3.4378,-123.2305,0
-0.6051,1.0365,2.1897,3.437,-122.0158,0
-0.6163,1.0177,2.1809,-0.8807,-120.847,0
-0.6269,0.9991,2.1459,-3.4998,-119.7399,0
-0.637,0.9806,2.1109,-3.5007,-118.6978,0
-0.6467,0.9622,2.0759,-3.4989,-117.716,0
-0.6559,0.944,2.0409,-3.5011,-116.7908,0
